match_id,date,stage,group,home_team,away_team,venue
1,2026-06-11,Group,A,Mexico,South Africa,Mexico City Stadium
2,2026-06-11,Group,A,South Korea,Czech Republic,Estadio Guadalajara
3,2026-06-18,Group,A,Czech Republic,South Africa,Atlanta Stadium
4,2026-06-18,Group,A,Mexico,South Korea,Estadio Guadalajara
5,2026-06-24,Group,A,Czech Republic,Mexico,Mexico City Stadium
6,2026-06-24,Group,A,South Africa,South Korea,Estadio Monterrey
7,2026-06-12,Group,B,Canada,Bosnia and Herzegovina,Toronto Stadium
8,2026-06-13,Group,B,Qatar,Switzerland,San Francisco Bay Area Stadium
9,2026-06-18,Group,B,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium
10,2026-06-18,Group,B,Canada,Qatar,BC Place Vancouver
11,2026-06-24,Group,B,Switzerland,Canada,Vancouver Stadium
12,2026-06-24,Group,B,Bosnia and Herzegovina,Qatar,Seattle Stadium
13,2026-06-13,Group,C,Brazil,Morocco,New York New Jersey Stadium
14,2026-06-13,Group,C,Haiti,Scotland,Boston Stadium
15,2026-06-19,Group,C,Brazil,Haiti,Philadelphia Stadium
16,2026-06-19,Group,C,Scotland,Morocco,Boston Stadium
17,2026-06-24,Group,C,Brazil,Scotland,Miami Stadium
18,2026-06-24,Group,C,Morocco,Haiti,Atlanta Stadium
19,2026-06-12,Group,D,United States,Paraguay,Los Angeles Stadium
20,2026-06-13,Group,D,Australia,Turkey,BC Place Vancouver
21,2026-06-19,Group,D,United States,Australia,Seattle Stadium
22,2026-06-19,Group,D,Turkey,Paraguay,San Francisco Bay Area Stadium
23,2026-06-25,Group,D,Turkey,United States,Los Angeles Stadium
24,2026-06-25,Group,D,Paraguay,Australia,San Francisco Bay Area Stadium
25,2026-06-14,Group,E,Ivory Coast,Ecuador,Philadelphia Stadium
26,2026-06-14,Group,E,Germany,Curaçao,Houston Stadium
27,2026-06-20,Group,E,Germany,Ivory Coast,Toronto Stadium
28,2026-06-20,Group,E,Ecuador,Curaçao,Kansas City Stadium
29,2026-06-25,Group,E,Curaçao,Ivory Coast,Philadelphia Stadium
30,2026-06-25,Group,E,Ecuador,Germany,New York New Jersey Stadium
31,2026-06-14,Group,F,Netherlands,Japan,Dallas Stadium
32,2026-06-14,Group,F,Sweden,Tunisia,Estadio Monterrey
33,2026-06-20,Group,F,Netherlands,Sweden,Houston Stadium
34,2026-06-20,Group,F,Tunisia,Japan,Estadio Monterrey
35,2026-06-25,Group,F,Japan,Sweden,Dallas Stadium
36,2026-06-25,Group,F,Tunisia,Netherlands,Kansas City Stadium
37,2026-06-15,Group,G,Belgium,Egypt,Seattle Stadium
38,2026-06-15,Group,G,Iran,New Zealand,Los Angeles Stadium
39,2026-06-21,Group,G,Belgium,Iran,Los Angeles Stadium
40,2026-06-21,Group,G,New Zealand,Egypt,Vancouver Stadium
41,2026-06-26,Group,G,Egypt,Iran,Seattle Stadium
42,2026-06-26,Group,G,New Zealand,Belgium,Vancouver Stadium
43,2026-06-15,Group,H,Spain,Cape Verde,Atlanta Stadium
44,2026-06-15,Group,H,Saudi Arabia,Uruguay,Miami Stadium
45,2026-06-21,Group,H,Spain,Saudi Arabia,Atlanta Stadium
46,2026-06-21,Group,H,Uruguay,Cape Verde,Miami Stadium
47,2026-06-26,Group,H,Cape Verde,Saudi Arabia,Houston Stadium
48,2026-06-26,Group,H,Uruguay,Spain,Guadalajara Stadium
49,2026-06-16,Group,I,France,Senegal,New York New Jersey Stadium
50,2026-06-16,Group,I,Iraq,Norway,Boston Stadium
51,2026-06-22,Group,I,France,Iraq,Philadelphia Stadium
52,2026-06-22,Group,I,Norway,Senegal,New York New Jersey Stadium
53,2026-06-26,Group,I,Norway,France,Boston Stadium
54,2026-06-26,Group,I,Senegal,Iraq,Toronto Stadium
55,2026-06-16,Group,J,Argentina,Algeria,Kansas City Stadium
56,2026-06-16,Group,J,Austria,Jordan,San Francisco Bay Area Stadium
57,2026-06-22,Group,J,Argentina,Austria,Dallas Stadium
58,2026-06-22,Group,J,Jordan,Algeria,San Francisco Bay Area Stadium
59,2026-06-27,Group,J,Algeria,Austria,Kansas City Stadium
60,2026-06-27,Group,J,Jordan,Argentina,Dallas Stadium
61,2026-06-17,Group,K,Portugal,DR Congo,Houston Stadium
62,2026-06-17,Group,K,Uzbekistan,Colombia,Mexico City Stadium
63,2026-06-23,Group,K,Portugal,Uzbekistan,Houston Stadium
64,2026-06-23,Group,K,Colombia,DR Congo,Guadalajara Stadium
65,2026-06-27,Group,K,Colombia,Portugal,Miami Stadium
66,2026-06-27,Group,K,DR Congo,Uzbekistan,Atlanta Stadium
67,2026-06-17,Group,L,England,Croatia,Dallas Stadium
68,2026-06-17,Group,L,Ghana,Panama,Toronto Stadium
69,2026-06-23,Group,L,England,Ghana,Boston Stadium
70,2026-06-23,Group,L,Panama,Croatia,Toronto Stadium
71,2026-06-27,Group,L,Panama,England,New York New Jersey Stadium
72,2026-06-27,Group,L,Croatia,Ghana,Philadelphia Stadium